month;year;customer_id;total_spending
9;2017;1617b1357756262bfa56ab541c47bc16;6048000
2;2018;be1b70680b9f9694d8c70f41fa3dc92b;2100000
11;2017;05455dfa7cd02f13d132aa7a6a9729c6;2077110
